,Athleticism,Ball Handling,BigBoardPosition,Birthday,ClassStatus,College,Defense,DraftClass,Height,High School,Hometown,Intangibles,Jump Shot,Leadership,MockPosition,NBA Ready,Name,Overall,Passing,Position,Potential,Quickness,Scouting_Author,Scouting_Notes,Scouting_Report_Date,Scouting_Strengths,Scouting_Weaknesses,Size,Strength,Weight,url
0,7 ,7 ,70,07/01/91,Senior ,Bucknell ,7 ,2013,"6-11,",Roseville ,"Roseville, MN ",8 ,8 ,7 ,50,8 ,Mike Muscala ,88,8 ,Power Forward/Center,7 ,7 ,Aran Smith,Viewed by scouts as a likely draft pick and probable mid second rounder … Struggled in Bucknell’s lone tourney game against Butler’s Andrew Smith hitting just 4-17 from the floor and finishing in single digits in pts (9). ,3/28/13,"Bigman with solid fluidity, mobility and footwork … Surprising agility for a player out of the Patriot League … Has good experience with four seasons of college ball under his belt … Polished offensive game … Excellent touch and a skilled offensive player showing the ability to consistently knock down shots from 15-18 feet … His statistics show that he’s a solid contibutor on both ends of the floor … Solid passer for a bigman … Dominated the Patriot League averging 18.7 ppg , 11.1 rpg, 2.4 bpg and 2.3 spg, earning conference player of the year … 
","While a fluid athlete, he lacks the explosiveness and overall quickness and athleticism to stand out at the next level … Lacks upper body strength. Appears to shy away from contact at times. A finesse player who is most comfortable facing the basket and knocking down mid-range shots … And lack of physicality may limit his effectiveness on the boards and defensively … Averagd 2.4 blocked shots per game, but there is some question about whether he could do that against a higher level of competition … Known for being a quality shooter, however his 25% 3 point shooting in his senior year was surprisingly bad … Had strong #s but level of competition concerns could temper scout’s reviews of him … His inability to step up in the NCAA tourney did his stock no favors …
",8 ,6 ,230,mike-muscala
1,9 ,7 ,8,03/14/93,Freshman ,UNLV ,7 ,2013,"6-7,",Findlay Prep ,"Brampton, Ontario, Canada ",8 ,8 ,8 ,10,8 ,Anthony Bennett ,94,7 ,Small Forward/Power Forward,9 ,7 ,@LamontPeterson,"Measured 6’7 (in shoes) 242 lbs, with a 7’1 wingspan at the 2011 LeBron James Skills Academy … Knocked down a clutch three pointer late to lift the International team to victory in the 2012 Hoop Summit … Has been as productive as any freshman in the country causing some to wonder if he could go #1 overall in a weak draft … At 6’7 & 240 lbs he could be a Defensive End for the Runnin Rebels football team … His fast college ascent is partially attributable to the 11th & 12th grade years which were well spent at Findlay Prep … In addition, Bennett spent those summers playing AAU for CIA Bounce & Team Canada in International Competitions … ",2/1/13,"Bennett has expanded his game offensively and become almost unguardable during his first season of college ball … Bennett’s transition to the college game has been seamless … What grabs your attention about Bennett is his focus and intensity … Imposing physical specimen. Huge hands, wide shoulders and an enormous wingspan gives him great ability to dunk the ball with power … He’s very athletic, long, quick & fast. With a 7’1 wingspan & impressive inch vertical he poses nightmare problems in terms of mismatches … Able to overpower smaller defenders & bigger defenders get ""outquicked"" and often dunked on … Bennett is best at the power game in the paint, where at least 70 % of his scoring total comes from … When charting his shots on the season he has literally scored from every power spot on the floor … He favors the right side of the floor consisting of floaters, tip ins, reverse layups & dunks 60% of the time. Bennett’s 42 dunks put him among the country’s leaders. Bennett has made 23 3 pointers this season and averages 1 make per game. Bennett’s sweet spot is the left perimeter where he’s made 40% of his 3 pointers. His go to midrange move is his face up jumper from the right baseline … Two words that bode well for Bennett’s future are productivity and efficiency … He is so efficient that if he played 40 minutes per game he would average 26.2 points per game … He has the innate ability to create spacing which helps him to score whether it’s freezing a defender with a jab step or flaring off of a screen to catch & shoot or flat out blowing by a defender for a power dunk … Bennett continually shows his versatility which raises his intrigue … Bennett’s footwork is excellent, especially for someone of his size. Along with his footwork, Bennett’s shooting mechanics are very good. His form never changes on his shot. His shoulders are always squared and facing the basket. His release point is the same & even his misses look good … Bennett is extremely adept at drawing fouls and goes to the stripe an average of 6 times per game, knocking down 75% of his free throws … Bennett is an adept ball handler and has gone coast to coast 4 times this season. He maintains a low dribble and is rarely caught upright. Based upon playing 40 minutes, he averages only 2 turnovers. As stated earlier, with his tremendous skill set & ability to draw fouls he commands a great deal of attention defensively …
","Somewhat of a tweener as he is slightly undersized for a full time PF (though that’s likely his future position) and slow defensively to play the SF position … The major concern for Bennett going into this season was his health. His prep career was marred with injuries as he was not able to finish out either his junior or senior seasons. On the positive side he hasn’t had any such problems in college having not missed a single practice much less game … There are some questions about his toughness. He’s got a massive frame with incredible strength, but for as big and strong as he is, it doesn’t always appear that he seeks out contact, or play with ferocity on the boards … While averaging a team high 8 rebounds a game, at times he appears disinterested defensively. In Bennett’s defense he spent the beginning of the season defending the opposition’s Center until teammate Khem Birch became eligible, but defending is also about desire.
",8 ,8 ,240,anthony-bennett
2,9 ,7 ,6,03/26/96,Freshman ,Duke ,8 ,2015,"6-6,",St. John’s ,"Houston, TX ",8 ,8 ,7 ,7,8 ,Justise Winslow ,97,7 ,Shooting Guard/Small Forward,9 ,9 ,Aran Smith,"Measured 6’6, 229.1 lbs, with a 6’10 wingspan and 8’7 reach at the 2014 USA U18 tryouts … McDonald’s and Jordan Brand All American … Helped Team USA win the 2014 Hoop Summit … Has really matured in his one year in college and appears to be a one and done, top 5-10 prospect … ",1/8/15,"Big time athlete with elite level speed and athleticism … Shows the ability to score in a variety of ways, with spot up shooting as well as scoring off the dribble … Can finish at the rim with highlight dunks, and does a good job of utilizing his great body strength to absorb contact … Very dangerous in the open floor with his speed and leaping ability … Tremendous basketball body with solid wingspan and great body strength considering his age … One of those rare kids that had an NBA ready body coming out of high school … Lefty shooter with nice touch … Has knocked down the college 3 ball at a good clip and with steady volume (39% with 1.4 makes per game) … Excellent on ball defender showing great lateral speed and awareness as well as a high effort level. Even blocks some shots, making use of his great quickness and timing … Has done a solid job of avoiding turnovers and making solid decisions with the ball, as evidenced by his positive a/to ratio … Comfortable handling the ball on the break … Has exhibited a nice ability to create off the dribble from the perimeter and get to the rim and finish … Also has good body control and touch on the move. His ability to convert plays while operating at such a high rate of speed is very intriguing … Smart kid and considered a high character individual … 
","Throughout his high school and AAU career he flashed tremendous talent but struggled to sustain a high level of consistency … Can lose focus at times during games, but has been a lot more consistent and prepared then expected … He needs to continue to show a high level of aggression and intensity in order to realize his immense talent … Shot shows high potential but still has some minor kinks in his mechanics that need to be ironed out in order to add range and consistency … Should look to improve upon his current 62% FT shooting … 
",8 ,9 ,222,justise-winslow
3,7 ,6 ,Overall:,03/28/91,Senior ,Tennessee ,7 ,Big ,"6-5,",Liberty County ,"Midway, GA ",7 ,8 ,7 ,82,8 ,Jordan McRae ,85,7 ,Shooting Guard,7 ,7 ,Jorrye Nixon,"Measured 6’5 (in shoes) 175 lbs, with a 7’0 wingspan at the 2013 Kevin Durant Skills Academy",5/26/14,"McRae is a tall and long wing prospect who plays a fairly unorthodox game … Stands 6’5, and has an outstanding 7’0 wingspan, and he uses it well on both ends on the floor … Good athlete with solid leaping skills and fluidity … Likes to shoot the ball, and can make shots from deep or from mid-range effectively … Showed the ability to shoot with range in college … Shows some good shot-making skills, and can hit contested jumpers at times … Has an unconventional release (puts the ball around his forehead when he shoots), but he has a very quick release and is consistent with his mechanics … Good at using screens to get shots, and only needs a little daylight to get shots off given his release and size … Probably is a more consistent mid-range player than 3-point shooter, and shows good footwork and ability to make moves to create space for himself … Can put up points in bunches … Has shown more and more confidence in himself offensively over his career … Able to hit shots off the dribble pretty well…Can finish when attacking the rim on straight-line drives, and covers a good amount of ground with his long strides … Not a selfish player, usually can find the open man when he gets extra defensive attention…Has excellent defensive potential, and already shows the ability to be a tough and active defender … His length allows him to be a factor in the passing lanes and he can smother guards with on-ball pressure … Very good shot-blocking skills for a wing … Versatile on D, could be able to defend the 3 perimeter spots in the NBA, if not at least the wing positions … Should benefit from more floor spacing and a lighter scoring load, as Tennessee was often crowded inside the arc offensively and didn’t have any real perimeter scoring options besides him in his last 2 seasons … Developed nicely after starting his career as a pretty raw prospect, could have more untapped potential despite being a 4-year player … Knows when to be vocal and knew when to try and carry his team, showed some leadership skills as a Sr.
","Though McRae has good height and exceptional length, he is a twig at 179 lbs and will need to get much stronger ..  Has a narrow frame and thin shoulders, so it will be harder for him to put on weight without losing athleticism more so than some of the other more thin prospects … Some real question marks about his ability to add legitimate strength .. Struggles to deal with contact…Though he is a confident shooter, his efficiency can definitely stand to improve … Didn’t really shoot the 3-ball well down the stretch last season … His shooting mechanics also need to tighten up, as his inconsistencies can likely be related to his unconventional form … Sometimes forces contested shots … Ball-handling skills need work … Doesn’t hold up that well to tight ball pressure … Not a truly good isolation player, though he at times had to look to score in these situations due to a lack of perimeter scorers around him…A big high-waisted, and can be a little stiff moving laterally … Though he has matured and become a smarter player, his feel for the game and basketball IQ can still improve … Is 23 years old, so he is older than many other prospects …
Overall: McRae’s ability to score, mixed with his really good physical tools could make him a draft day selection … He could be a good defender in the NBA and if he gets his jumper more consistent, he will have a real good chance at a nice career for himself … Problem is, he never developed the consistency he needed with his shot in college, and he’s a pretty thin guy who doesn’t handle the ball that well and is an older prospect … Moving on from Tennessee, McRae has some of the tools to be an intriguing prospect, and could hear his name called in the 2nd round of the draft …
",8 ,6 ,180,jordan-mcrae
4,8 ,7 ,8,08/30/96,Junior ,Villanova ,9 ,2018,"6-7,",Great Valley ,"Malvern, PA ",9 ,9 ,7 ,10,9 ,Mikal Bridges ,95,6 ,Shooting Guard/Small Forward,7 ,8 ,Aran Smith,"Born and raised in Philadelphia, PA… Has 3 brothers Eric (26), Jack (16) and Korey (13). Parents are Tyneeha Rivers and Jack Devine … Committed to Villanova on 6/26/13 … Was a four star recruit in the Class of 2014 coming out of Great Valley High School in Malvern, PA … Entering college he was ranked 81st in the nation by 247Sports.com, 82nd in the nation by ESPN, 95th in the nation by Rivals … Measured 6’6 (with shoes) 178 lbs with a 7’0.5 wingspan at the 2013 Kevin Durant Skills Academy …",3/11/18,"Prototypical 3-and-D wing for the next level … 6-7 guard/forward with elite length, athleticism and skill set … Has evolved from being a defensive standout to one of the best outside shooters and wings on the college level … Quite possibly the best two way player available in this year’s draft, and figures to be one of the most NBA ready as well … Hits three pointers at a high volume, 2.5 three pointers on just under 6 shots per game … Has a very polished 3-point shot. Great form, accuracy and confidence in his shot: Gets his feet set quickly, has a quick release, good elevation, follow through, and shows range and consistency … Does most of his damage offensively as a spot up shooter … Nearly 50% of his shots come from behind the 3point arch where he is extremely efficient (43% from 3)… Has improved his ability to attack the rim off the bounce and finish with dunks … A +6 or +7 length body type … His 7-foot wingspan allows him to get shots off with ease as well as being a difficult match up on the defensive end … Excels on the defensive end and is disruptive with his great length … Gets in a low defensive stance and covers a lot of ground making it difficult for opponents to get clean looks … Doesn’t gamble for steals and has learned to play sound, fundamental defense after 4 years under Jay Wright at Villanova. He plays the passing lanes well, and is tough to get shots off on due to his length … An extremely efficient overall offensive player shooting (51.6 fg%, 42.9% 3p, and 84.7% ft) … Has improved considerably in his junior season going from a key role player to a star (10 ppg to 18 PPG) on the college level and Villanova’s go-to athletic scorer … Has become known for being a clutch shooter, and seems to elevate his play in big moments … Level headed player who rarely loses his cool … Solid decision maker, 2.1/1.4 a/to rate … 
","The biggest knock on Bridges is his lack of strength. Not an overly physical player … His 2.8 FTs made on 3.4 attempts show that he doesn’t attack the rim and get to the line a great deal. His FTA/FGA ratio is below 30% at 28.0% … Has worked hard at adding muscle mass, but remains on the thin side at 210 lbs for a player about to turn 22. Could stand to add another 10 lbs, which would help him to finish through contact and play more physical at both ends. Though he may be a player that lacks the natural body type to carry more weight … He would also better utilize his great free throw shooting ability by playing more physical and attacking the rim … Playing alongside one of the nation’s best point guards (Jalen Brunson) for his entire college career has been a huge positive for Bridges, but it has also kept him from having to develop as an isolation player … Has displayed some ability to get to the rim off the bounce and pull up, but remains more of a catch and shoot guy than a driver (96.4% of his 3 pointers come off of assists) … Took some time to break into a star … Red-shirted the 2014-15 season, practicing with the team … Will turn 22 on August 30th, and therefore has maturity but less upside than a number of his fellow draft prospects… Foot speed is solid, especially laterally, but not exceptional … A good leaper but not great with contact and struggles some to finish after contact or rebound in traffic despite his length … Generally goes right, so could improve upon attacking off the dribble using his left hand … Vision and passing a work in progress. Not really a facilitator or a guy that creates open looks for teammates with the drive and dish … More of a lead by example type, could work on being more vocal now that he’s one of the team’s stars …
",9 ,7 ,210,mikal-bridges
5,6 ,7 ,Overall:,02/12/92,Senior ,Ohio St. ,8 ,Big ,"6-2,",Liberty Benton ,"Findlay, OH ",7 ,5 ,8 ,97,7 ,Aaron Craft ,84,8 ,Point Guard,6 ,7 ,"Overall: Craft seems to lack the size, athleticism, shooting ability, and all-around scoring ability to come anywhere near the NBA, but time and time again, Aaron Craft found a way to succeed in college … Drew a lot of respect among AAU circles for his competitiveness and talent …  His combination of heart, hustle, intelligence, work ethic, and amazing defense will have teams clamoring to sign him after the draft and he may even sneak his way into the second round … His speed/quickness numbers were solid at the combine and he will no doubt wow teams with his interviews …  He’s a guy that teammates love and that opponents get easily frustrated by … May be better suited for the European game. It remains to be seen if Craft can overcome his glaring shortcomings, but he is sure to work his butt off to make the most of whatever chance he gets in the NBA",Named National Defensive Player of the year by the NABC … Second Team All-Big Ten as a senior … 2014 First Team Academic All-American…,…,"Excellent on-ball defender with an incredible basketball IQ … Incredibly pesky defender whose on-ball pressure causes his man to make mistakes and turn the ball over … Very intelligent kid who knows exactly how to play the game.  Graduated with a 3.9 GPA after being the valedictorian of his high school class.  He’s almost like a coach on the floor … Makes all the little plays to help his team win … He hustles like few other prospects in this draft or any draft … Averaged 2.5 steals per game last season, which led the Big Ten by nearly half a steal.  He’s great at anticipating opponent’s passes and his quick hands knock the ball loose regularly.  His steals on the perimeter lead to lots of fast breaks, and Craft is great at leading the break as he can both finish and find teammates … Very good floor vision makes Craft a solid distributor.  He knows how to run an offense and keeps the ball moving on the perimeter … Good body control. Solid finisher … Decently quick first step and a set of good hesitation moves, although he’ll have more trouble getting by NBA defenders … Good at running the pick-and-roll … Plays great in the clutch and made several big shots throughout his career.  Hit a 3 in the final second to defeat Iowa State in last season’s NCAA Tournament …Craft is a strong point guard, which will help compensate for his lack of size and length … Good at creating offense as the inbounds passer.  Also has shown the ability to throw accurate long inbounds passes in time-sensitive situations (due in part to his background as a high school football quarterback) … Won 120 games at Ohio State.  The Buckeyes were in the Top 25 for most of his time there … Amazing work ethic will help Craft translate his game to the pro level … His teammates and classmates have nothing but great things to say about him … Has shown the ability to hit the three-pointer from time to time … All about winning.  Never about his own accolades … Constantly plays at maximum speed …
","Doesn’t have NBA measurable or athleticism.  He stands at under 6’2"" with a 6’2"" wingspan and has a poor vertical leap (32"") … Lacks a consistent outside shot …  Shot only 30% from distance last season and only attempted 1.5 three’s per game last season … His form is one of the worst you will find in an NBA prospect with a hitch that doesn’t appear to be fixable … This hurts his ability to space the floor and limits his options on the pick-and-roll as defenders disregard his shot and don’t step out on him … Does little offensively anywhere near an NBA level.  Craft never averaged more than 10 PPG in college … Yes, he’s unselfish, but that’s partially because he can’t create a lot offensively himself … His lack of size and athletic ability will slightly hamper his defensive ability at the next level, although his defensive effort will always make him a fairly effective defender … Craft plays at full speed all the time, but this makes him rather turnover-prone.  Turned it over 2.6 times per game last season and had an assist-to-turnover ratio of under 2:1 … He’s a smart player, but he’s not always smart with the ball … Drew under 4 free throws per game, and many of those were in the final minute when Ohio State was icing the clock away … Questionable shooting mechanics …
",7 ,8 ,192,aaron-craft
6,7 ,9 ,9,05/12/98,Freshman ,Texas ,9 ,2018,"7-0,",Westtown School ,"New York, NY ",9 ,7 ,8 ,5,7 ,Mohamed Bamba ,96,7 ,Center,9 ,7 ,Evan Tomes,"Committed to University of Texas on 5/18/2017 … Measured 7’0, 216 lbs with a 7’9 wingspan and 9’6 standing reach at the 2017 Nike Hoop Summit … Measured 6’11.5’’ in shoes, with a 7’8’’ wingspan and 196 lbs at the 2015 Nike Basketball Academy",5/18/17,"7’0.5 big man with incredible length (7’9.5 wingspan and 9’6 standing reach) and big hands … Good athlete. Well-coordinated. Runs the floor. Good fluidity … Changes the game as a defender and covers a lot of ground. Has the potential to be an elite defender at the highest level … Blocks and alters everything in the paint. Tremendous anchor and help defender. Leaves his feet when necessary, doesn’t pick up bad fouls when players try to throw their body at him … Shows a solid foundation for a face up game … Can shoot from midrange pretty consistently. Shows some touch within close with his left hand … Rebounds everything he can get a hand on. Led the Nike EYBL with 13.9 rebounds per game. Cleans up well around the basket. Keeps the ball high after rebounds, doesn’t allow smaller players to get a hand on it … Intelligent individual off the court … Knows his limits offensively … Doesn’t try to do too much. Doesn’t drift to the perimeter or fall in love with jump shooting. Efficient scorer, shot 63.8% from the field for the Nike EYBL … Plays with tenacity … Constantly tracked by the defense … Good energy level. Stays alert for the pass … Continues to bring it even when he’s not heavily involved with the offense or getting many touches … Plays under control, doesn’t get rushed … Extremely bright kid who got offers from Ivy league schools like Harvard …
","Minimal offensive skills … Gets a high majority of his points off of simply catching and finishing. Isn’t always involved with the offense or has it run for him … Solid athlete, but not overly explosive, which diminishes his ability to some degree as a rim protector … Shows signs of facing up but has a ways to go before becoming a stretch big man … Post game is in its early stages of development. Lacks muscle memory on jump hooks … Has room to get stronger … Needs to further develop his feel for the game … Rarely makes progress when he puts the ball on the floor. Doesn’t handle double teams well …
Outlook: Bamba possesses incredible physical tools but a raw skillset with great long term potential on both ends of the floor. His development is far from finished and his presence is felt when he takes the floor, even without putting up big numbers in the scoring column.  Bamba had a strong Nike EYBL season and helped PSA Cardinals to the Peach Jam Championship game.
",10 ,7 ,225,mohamed-bamba
7,8 ,7 ,Overall:,06/20/98,Sophomore  ,Syracuse ,8 ,Big ,"6-8,",Athlete Institute ,"Mississauga, Ontario, Canada ",8 ,6 ,7 ,52,7 ,Oshae Brissett ,89,7 ,Small Forward,8 ,7 ,Ben Yokoyama,"Measured: 6′ 7” barefoot, 6′ 8” in shoes, 203.2lbs, 7′ 0” wingspan, and an 8′ 8” standing reach at the 2019 NBA Draft Combine … Born June 20th, 1998 in Toronto, Ontario, Canada… Played at Findlay Prep until his senior year, then transferred to Athlete Institute back in Canada… Ranked 137th in the class of 2017 … ",6/19/19,"A physical player that can rebound the ball …  Explosive athlete who can get by people despite his 6’8 frame … Has a 7 foot wingspan … Has great vertical athleticism but only recorded 0.8 blocks per game …  Has good speed and quickness … Determined player has a good motor when he wants to …  Decent free throw shooter at 73.6% in his two seasons … Can defend 1-4 with his lateral quickness … Does a lot of things decently, can rebound, defend, shoot and run in transition … Checked in a with a phenominal 2.9% body fat at the NBA Draft Combine … 
","Somewhat limited offensively … Poor 3-point shooter at 30.7% from deep in college … Extremely inefficient interior shooter at 40.4% at ‘Cuse … Don’t know much about his man-to-man or his interior defense because of the Syracuse zone … Takes a lot of ill-advised shots … If he can’t get to the hoop sometimes appears to throw the ball toward the rim and hopes for the best … Does not really have a defined position … Will need to find his role, doesn’t excel in any one aspect of the game … Needs to polish his overall offensive game … 
Outlook: Oshae Brissett is a physical player who has a lot of raw skill but will need to improve a lot of aspects of his game in order to see any action in the NBA … Just based on his athletic gifts, Brissett could be a mid-late second rounder as teams could take a chance on him and stash him in the G-League for a few years as he matures … He will have to shoot better because he is not quite big enough to be a post-only player and he will need to space to use his athleticism and strength to drive into the lane … If he can develop a jump shot and look up while driving to the basket instead of throwing up bad shots, Brissett could be a decent interior-midrange scorer … If he can work at his shot, could end up a sleeper … 
",8 ,8 ,205,oshae-brissett
8,8 ,8 ,Overall:,05/09/95,International ,France ,6 ,Big ,"6-7,",Team Site Profile,"Cannes, France ",15,7 ,8 ,32,7 ,Timothe Luwawu ,90,7 ,Shooting Guard/Small Forward,7 ,7 ,Stefanos Makris,"He started his professional career at the age of 17 in Antibes … Has been a member of Junior Level National teams for years … He really elevated his game – and also improved drastically his draft stock – after playing for Mega Lecs in 2015/16 season, averaging 14.6 points, 4.8 rebounds and 2.8 assists in ABA League, earning a spot in All-ABA League Team…",6/21/16,"Versatile wing … Great size and wingspan (measured around 7 feet) for his position … Has NBA level athleticism … Explosive leaper … Jumps equally well with either foot … Can play above the rim … Runs the floor really fast, helped by his great stride … Possesses good scoring instincts … Shooting mechanics have polished through time … Improving shooter in catch and shoot situations … Good shooter coming of screens … Can attack closeouts with his great first step … At the time he is better when driving and finishes in straight lines … Has potential to finish through contact if he bulks up his body … Occasionally can create his own shot … Excellent in transition … Can either start the break, or fill the lanes as a wing … Ball handling is much better than it used to be … Can play the Pick and Roll at an acceptable level as the ball handler … Willing to post up smaller defenders … He is a good slasher … Has a nice court vision, which helps him make good passes … Good rebounder for his position … Can guard multiple positions … Very good lateral quickness … Active hands on defense … Really knows how to fill the lanes and make steals … Has all the necessary tools (length, athleticism, lateral quickness) to become a lockdown defender in the future … Not afraid to shoot when the game is on the line … 
","Has to bulk up to be able to play at the next level … He has great numbers, but that is also a result of the high tempo of Mega Leks, which helps players showcase their skills … There are doubts about how his game will translate in the NBA …Can’t finish through contact yet, so at time he looks like he prefers to avoid it if he can, which translates to bad finishing ability at the rim … He might have improved as a shooter, but he can’t be considered a consistent threat from the perimeter yet … His shooting release is quicker than it used to be, but it remains pretty low and his shot can be blocked …  His follow through remains inconsistent at times … His ball handling still needs work … His ISO game is still a work in progress mainly due to his average ball handling … He lacks an in-between game … Must improve his shooting of the dribble, which is below average … His decision making isn’t there yet … Has the tendency to keep the ball in his hands for more time than he has to and take bad shoots … He seems to prefer shooting after first he has caught the ball with his left hand, which can easily been read by the defense … He has the bad habit of “disappearing” from time to time in the game … Drives almost always in straight lines, without much shake and having at times “tunnel vision” … He can’t “read” double-teams and help defense coming his way … Turnover prone … Must improve in pick and roll situations… His back to the basket game is still in its early stages … His defense is inconsistent … Defensive I.Q must improve … His off the ball defense is mediocre, mainly because he is too focused on the ball …
",8 ,8 ,195,timothe-luwawu
9,8 ,8 ,Overall:,11/16/94,Senior ,Arkansas ,8 ,Big ,"6-10,",Huntington Prep ,"Abuja, Nigeria ",8 ,7 ,7 ,76,7 ,Moses Kingsley ,89,6 ,Center,7 ,7 ,Brandon Jefferson,"Born in Enugu, Nigeria and moved to Mississippi as a sophomore in high school … Measured at 6’9.5 (in shoes) 211 lbs, with a 7’2 wingspan at the Amare Stoudemire Skills Academy …  One of the nation’s most improved players. Has had a breakout junior season, leading the team in scoring 16 ppg and rebounding 9 rpg, after being a role player in his first two seasons at Arkansas … 2015-16 All-SEC Second team and All-Defensive team selection … Former consensus Top 100 recruit (ESPN #46, Scout #50 and Rivals #59) … Attended Hunington Prep along with Andrew Wiggins and Xavier Rathan-Mayes … Member of 2014-15 SEC Community Service team and SEC Winter Academic Honor Roll … A mistake in his paperwork when coming to America flipped his name around from Kingsley Moses to Moses Kingsley … Parents are Moses and Gladys Okonkwo … ",3/9/16,"Kingsley is a player that looks the part of an NBA blue collar big man … Standing at 6’10"", with a 7’2"" wingspan, he possesses size that is not teachable … Physical tools give him intriguing potential …  He is at his best in the paint on both ends of the floor … Explosive athlete, which he uses to finish around the basket … Highly efficient at scoring garbage baskets, or off plays that aren’t designed for him … Has even shown some ability to handle the ball and the body control to get through opponents and finish on the break … Likes physical contact and plays with toughness … Monster on the offensive boards … Rebounds very well, particularly outside of his area … Has a strong defensive presence …  Combines length with great awareness and timing to block and change shots in the paint. 2.4 shot blocks per game in 30 minutes … Great feet. Excellent lateral speed … Can hold his own on the perimeter defending guards … Three years in college has given him a solid feel for where to be defensively and improved his skill level considerably … Shows a hunger to learn and plays with great energy and determination …
","Still somewhat new to the game (6 years of competitive ball) and his feel is affected slightly … Scoring ability and offensive skill set remains limited … Does not have much of a post game … Questionable touch on his shot … Misses too many easy put backs and shots close to the rim … Has an unnecessary hitch in his form that causes inconsistency in his shot. Also should focus on better follow through … Poor free throw shooter, who has never shot better than 65 percent in a season … Not particularly fluid running, sort of lumbers up and down the court with an uncoordinated looking gait, though not slow … Can be mistake prone for stretches of play … Has had a knack for picking up early and unnecessary fouls throughout his career … Plays with high intensity and a high motor, but can at times seem reckless or rushed … Definitely more of a developmental type of draft pick at the moment, though he is showing flashes of proficiency … 
Outlook: A physical specimen with great agility and athleticism that can switch between the 4 and the 5 positions at the next level … Will make his biggest impact on the defensive side where he will be an immediate paint presence … If he wants to be anything more than a third or fourth big, he will need to continue to work on becoming more of an offensive threat …
",8 ,8 ,230,moses-kingsley
