,age,board_rank,draft_year,height,name,negative_report,position,positive_report,school,school_year,weight,wingspan,standing_reach,Rookie_BPM,Rookie_VORP
0,18.7,1.0,2020,77.0,KILLIAN HAYES,"Left-hand dominant: He might as well tie his right hand behind his back considering how little he uses it—there are some passes he can’t make since he relies on his left hand so much. Limited athlete who lacks burst and bounce, which hinders his finishing ability, especially since he rarely uses his right hand. Lacks an advanced handle. Picks up his dribble too often, which gets him into trouble. He’s shifty but doesn’t create a ton of separation and doesn’t string together advanced moves to break down defenses. Experiences lapses on defense, missing rotations and falling out of his on-ball stance. He needs to be more vocal as a lead guard to take better command of the team.",Guard,"Playmaking is his best skill. He can whip passes off the dribble with accuracy and hit cutters or rollers with precision. Creative pick-and-roll facilitator. Despite his weak right hand, he gets where he wants and knows how to manipulate defenses to create passing angles and openings to score. Fluid ball handler with the size to outmuscle smaller guards. Excellent touch with his left hand finishing difficult floaters and runners, often after initiating contact. Displays major potential as an off-the-dribble 3-point shooter with Hardenesque moves. Added a stepback and sidestep 3 to his arsenal and uses hesitations to get into pull-ups. His catch-and-shoot shooting numbers are concerning, but he has smooth form, a soft touch inside, and a free throw percentage over 80—all of which suggest he’ll figure it out. Tall, with a strong frame and long arms, making him a projectably versatile defender against guards and wings. Active off-ball menace who could develop into a disruptive defensive helper.", Ulm / France,NaN,215,80.25,NaN,,
1,18.6,2.0,2020,79.0,LAMELO BALL,"Ball is a great passer, but he can’t be classified as a great playmaker yet because of his decision-making. He jacks up poor shots early in the clock and settles far too often rather than attacking the rim. Poor shooting mechanics: He has no consistency with his form, other than his low release. As a solid free throw shooter with good touch on floaters, he has obvious upside. But his form—much like his brother’s—must be overhauled. Rarely initiates contact and avoids it around the rim. He doesn’t stay in his defensive stance and often keeps his hands down when closing out—or as Mark Jackson would say: “Hand down, man down.” Defensive discipline: He defaults to switching instead of fighting over screens and he falls out of position off-ball when chasing steals.",Guard,"Ambidextrous passer with pinpoint accuracy and omnidirectional vision. He sees everything on the court, creating opportunities for teammates that most players simply don’t see or can’t pull off thanks to his innate ability to manipulate defenders. Excellent ball handler who uses hesitations to put defenders on skates. He uses advanced moves but always remains in control, dictating the pace like a drummer would a song’s tempo. Elite touch. Though he attempts too many floaters and shys away from contact, his ability to score creatively with either hand suggests he could develop into a finisher at the rim. Attentive off-ball player who cuts and adjusts to space well behind the arc. Great rebounder for his position like his older brother Lonzo. His instincts pop up here when tracking down boards. Versatile defender. He’s quick laterally and quite large for a point guard. He has the size to comfortably switch onto wings.", Illawarra Hawks,NaN,190,82.0,NaN,,
2,18.7,3.0,2020,77.0,ANTHONY EDWARDS,"Not a pure shooter; he settles for jumpers even against mismatches, which is especially frustrating for a player with his size and strength. Best suited to be in a multiple-ball-handler system next to a pass-first player because of his underwhelming playmaking instincts. Inconsistent effort. At times he plays hard by cutting, running up the floor, and crashing the boards. But then he’ll disappear—teams will need to do extensive background to gauge his mentality. Despite his athleticism, he struggles as an off-ball defender, lacking focus and often losing track of his man. Fundamentals and effort must improve while defending on-ball; lockdown flashes are mired by far too many moments of apathy.",Guard,"Powerful driving to the rim; when he initiates contact, defenders bounce off him. Finishes with athleticism and displays soft touch with either hand. Dynamic shot-maker off the dribble; he fluidly transitions from complex dribbles, spins, and hesitations into pull-ups, stepbacks, and side steps. A freight train in transition; though his shot selection was iffy at Georgia, wide-open spacing in the NBA could lead to far more shots at the rim. Solid passer. Doesn’t possess elite court vision, and tends to react rather than create opportunities for teammates, but he can execute basic reads to shooters and cutters. Potentially a super-versatile defender thanks to his rare blend of size, strength, and agility.", Georgia,freshman,225,81.0,NaN,,
3,20.1,4.0,2020,77.0,TYRESE HALIBURTON,"Lack of athleticism and burst limits his upside as a primary shot creator. Generally avoids contact at the rim, which forces him to settle for tough layups or low-percentage floaters. Made progress off the dribble as a sophomore, but still didn’t shoot well, and his stiff form raises concern. Man-to-man defense: He stands in too much of an upright stance and moves laterally on his heels. Also takes poor angles fighting around screens.",Guard,"Always in control; he lacks lightning speed or explosiveness, but he uses subtle gear changes to throw defenders off balance, create room, and then strike. Takes long strides on drives to the rim and displays good timing when gathering his dribble before using his length to score at the rim. Creative playmaker with extraordinary vision and ambidextrous handles to deliver passes at all angles; he manipulates defenders with his eyes and dribble in the pick-and-roll, and has pinpoint accuracy on passes to rollers and shooters. Good spot-up shooter with deep NBA range, despite his odd form. A coach’s dream: He does all the little things on the court, from smart, timely defensive rotations to making rapid decisions to keep the offense flowing.", Iowa State,sophomore,175,84.0,NaN,,
4,19.6,6.0,2020,79.0,DEVIN VASSELL,"Lacks burst to beat defenders off the dribble and get to the rim—and even if he gets to the paint, he struggles to finish against contact. Wiry frame may limit his versatility against larger, stronger opponents.",Wing,"Elite team defender who will immediately help any NBA rotation. He is hyper-alert on rotations, disrupts opponents’ actions with timely digs, and deters shooters from firing with fundamental closeouts. Never stops hustling. Even when a play seems over, he’ll fly out of nowhere for a chase-down block or last-second deflection. Impactful on-ball defender with the right blend of agility and length to defend guards and wings, though he must get stronger. Good spot-up shooter with a high release and displays awareness moving and cutting off the ball. Tightened his handle to become a potent shooter off the bounce; he hit a single dribble jumper as a freshman and then 39 as a sophomore, with many of them contested out of the pick-and-roll. Displays high-level passing vision for a wing, though he’s not a primary ball handler.", Florida State,sophomore,194,82.0,NaN,,
5,19.0,7.0,2020,85.0,JAMES WISEMAN,"Poor shot selection in high school; he played like he thought he was the second coming of Dirk Nowitzki. In college, he played more to his strengths, which needs to continue at the NBA level; the context of his situation will be key to his success. He’s an all-world athlete in an open gym, but he slows down in games when he has to read the floor. Simplifying his role will be vital early on. He has a weak handle, which limits him off the dribble. And as a playmaker, he misses open cutters and delivers inaccurate passes. He’s best suited to finish rather than create. Chases too many blocks and ends up falling for pump fakes. Sluggish lateral movement on the perimeter due to a lack of quickness and shoddy footwork. Defenders blow by him too often. At this stage, he’s not switchable.",Big,"Elite measurables with long arms and a strong frame. He runs the floor like a gazelle, and he explodes vertically when he has space to launch. Active rebounder. He displays a high motor and great instincts tracking the trajectory of missed shots on the offensive glass. His best offensive role is as a screener who rolls hard to the rim since he can finish lobs or with touch. But he can also mix in pops to generate shots from the perimeter and keep defenses honest. Strong post-up potential. Displays a rare blend of power and finesse and does a nice job of sealing off his man. But he currently lacks advanced power moves, instead defaulting to fadeaways. Shooting upside: He has good mechanics and soft touch. But he lacks range and doesn’t have a track record of success shooting from midrange and 3. Athletic rim protector whose mere presence can deter opponents. He’s good at assessing what’s in front of him. If his positioning and court awareness improves, he has elite potential. High-character person who works hard on and off the court. He’s intelligent, too; These are positive personality traits that could aid his development.", Memphis,freshman,237,90.0,NaN,,
6,19.5,8.0,2020,74.0,TYRELL TERRY,"Developing a stepback and side-dribble 3 is the next step for him. At this stage, the far majority of his dribble-jumper 3s are pull-ups. When he takes wild shots—which were often necessary at Stanford—his mechanics often fall apart; he kicks his legs out and lands wide instead of releasing with sound fundamentals. He needs to improve his off-hand to score better around the rim against length and contact. Picks up his dribble too often on drives to the rim. He should keep it alive and learn how to circle through the lane or look for the open man. Goes through the motions at times as a playmaker. He needs to put zip on the ball.",Guard,"Elite shooter with a quick, high release. He can run off screens and find his balance midair (48 percent on catch-and-shoot 3s), or unload off-the-dribble jumpers from deep behind the arc (32 percent). Advanced off-ball movement: He manipulates defenders with pivots and fakes to get himself open. The Curry family would be proud of his tendency to relocate for corner 3s after giving up the ball. Crafty interior finisher with an expansive layup package. He has a keen sense for how to contort his body on layup attempts, and the soft touch to score from awkward angles or against contact. Makes an impact in the pick-and-roll. He has the burst to turn the corner and generally makes smart decisions when deciding whether to shoot or pass. Solid passer who can make fundamental plays, plus the more advanced ones like whips to 3-point shooters and wrap-arounds to rolling bigs. Competitive defender who will take a charge and dive for loose balls. On switches, he’ll try to battle against bigger players.", Stanford,freshman,160,NaN,NaN,,
7,19.4,9.0,2020,75.0,TYRESE MAXEY,"Lacks top-end quickness and acceleration. He’s at his best playing off others, but he’ll need to improve his handle to be a reliable scorer. Attempts a lot of tough, contested shots due to his inability to generate space off the dribble. Low release may contribute to his streakiness as a shooter. He has good overall form but has some really inaccurate misses that occasionally clank off the glass.",Guard,"Clever finisher at the rim who can score from awkward angles using the glass and absorb contact to find an angle using either hand. Shot only 32 percent on jumpers, but his compact form, soft touch, and high percentage from the line bodes well for his future as a shooter. Comfortable shooting off the dribble in either direction. He lacks elite burst but he makes rapid movements stopping and transitioning into his shot. Good pick-and-roll scorer who can get to the rim or pull up and shoot. Excellent on-ball defender with a strong frame and long arms. He plays hard, shifts his feet, and flips his hips to move well laterally and defend pick-and-rolls. He’s strong enough to power through screens or defend larger wings. Off-ball defense: Stays engaged, rotates well, and anticipates where the ball will be to beat opponents to their spots.", Kentucky,freshman,198,78.0,NaN,,
8,19.2,10.0,2020,78.0,ISAAC OKORO,"Stiff shooter with clunky mechanics—defenses already sag off him. He brings the ball to his shot pocket too soon, ruining the timing of his release. Nonfactor off the dribble. Subpar free throw shooter, which doesn’t provide much optimism for the development of his jumper.",Wing,"Great finisher who delivers through contact, draws fouls, and displays a pillowy touch with either hand. Smart decision-maker who moves the ball, can run some pick-and-roll, and doesn’t force bad shots—instead of taking a contested runner, he’ll almost always kick it out to an open shooter. Displays a good handle with either hand on crossovers, spins, and hesitations. He could have untapped, long-term upside as a shot creator. Versatile on-ball defender with the strength to battle bigger players, and the ideal blend of fundamentals, quickness, and intelligence to play on the perimeter. A high-IQ, competitive defender who excels within the team concept by rotating well and disrupting opponents’ actions.", Auburn,freshman,225,81.0,NaN,,
9,22.1,11.0,2020,81.0,OBI TOPPIN,"Brutal pick-and-roll defender who displays little recognition or feel for reading a screen; he’s almost always out of position. High center of gravity limits his defensive ability in the post. He’ll often get pushed around for low-post positioning—Zion would bury him under the rim. Doesn’t change directions well laterally; he has tight hips, which means NBA offenses will attack him relentlessly one-on-one. Poor help defender and rebounder who doesn’t play with great awareness or effort.",Big,"Glides through the air for ferocious dunks; he’s a major threat in the pick-and-roll, cutting, and running the break. He also possesses a soft touch with either hand around the rim. Nimble ball handler who can attack from the perimeter; he’ll be a weapon in fake dribble handoffs since he can facilitate, shoot, or get to the basket. Good shooter from NBA 3-point range, but he hasn’t fallen in love with his shot like many modern bigs. Strong playmaker. He makes quick decisions out of the short roll and could develop into a playmaking hub from the post. Has the leaping ability and quickness to theoretically be an effective shot blocker.", Dayton,NaN,220,83.0,NaN,,
